XCoord,YCoord,OBJECTID,XCOORD,YCOORD,OBJECTID_1,POINT_X,POINT_Y,AGE,COMPLEX,COMDIST,SUBWAY,MAJROAD,AGEAVE,POPDEN,BLSPOPF,FIRENO,CAR2012R,TAX,AREA,PRICE,FLOOR1,UNITPRI
961261.7099,1953588.3,1629,961261.7099,1953588.3,1629,961261.7099,1953588.3,0.477121,1.255273,2.815946,3.003334,2.501309,1.608526,4.395651,0.020807,4,0.241034,4.058008,1.994677,4.728676,0,2.733999
961233.2027,1942230.349,1630,961233.2027,1942230.349,1630,961233.2027,1942230.349,1.518514,1.380211,2.977376,2.938881,1.99868,1.611723,4.241825,0.016604,13,0.308397,4.519959,1.66175,4.866148,0,3.204398
961291.5029,1952306.192,1631,961291.5029,1952306.192,1631,961291.5029,1952306.192,1.146128,1,2.941947,2.887447,2.081979,1.61595,4.574422,0.025111,9,0.258867,4.184918,1.883776,4.460978,0,2.577202
961345.8176,1959642.133,1632,961345.8176,1959642.133,1632,961345.8176,1959642.133,1.20412,1.653213,3.235962,2.437834,2.308868,1.583199,4.695619,0.036793,7,0.246522,3.93369,1.928242,4.560287,0.5,2.632045
961339.465,1957373.262,1633,961339.465,1957373.262,1633,961339.465,1957373.262,1.491362,0.60206,3.393405,2.426651,1.85876,1.612784,4.292867,0.01691,12,0.246223,4.097292,1.970161,4.403121,0,2.43296
961288.6507,1946334.763,1634,961288.6507,1946334.763,1634,961288.6507,1946334.763,1.230449,0,2.444217,2.779626,2.010734,1.596597,3.910855,0.004367,18,0.555443,5.332054,1.775974,4.740363,0,2.964389
961325.3211,1952999.107,1635,961325.3211,1952999.107,1635,961325.3211,1952999.107,1.176091,0,3.016564,3.101671,2.359686,1.61595,4.574422,0.025111,9,0.258867,4.184918,1.777934,4.467974,0,2.69004
961369.6704,1962293.604,1636,961369.6704,1962293.604,1636,961369.6704,1962293.604,1,0.30103,2.712135,2.534063,2.196525,1.608526,4.566524,0.018948,21,0.2497,4.24534,1.929317,4.525045,0,2.595728
961350.1294,1958064.421,1637,961350.1294,1958064.421,1637,961350.1294,1958064.421,1.176091,0.30103,3.430722,2.326835,1.621844,1.612784,4.292867,0.01691,12,0.246223,4.097292,1.828077,4.40691,0,2.578833
961337.4399,1951970.596,1638,961337.4399,1951970.596,1638,961337.4399,1951970.596,0.60206,0.477121,2.827215,2.713415,1.572452,1.609594,4.478174,0.017132,35,0.298103,4.695736,1.928652,4.57671,0,2.648058
961386.3672,1961249.936,1639,961386.3672,1961249.936,1639,961386.3672,1961249.936,1.431364,0,2.208451,2.662354,1.632821,1.583199,4.51542,0.012978,12,0.233847,4.371696,1.658704,4.278186,0,2.619482
961394.5514,1962385.257,1640,961394.5514,1962385.257,1640,961394.5514,1962385.257,1.431364,0.778151,2.755201,2.627274,1.801647,1.586587,4.399219,0.008774,3,0.240042,3.87691,1.700957,4.324373,0,2.623416
961311.9362,1943775.853,1641,961311.9362,1943775.853,1641,961311.9362,1943775.853,1.50515,1.146128,2.079884,2.170304,2.201888,1.559907,4.399126,0.000858,6,0.371895,4.896251,2.012024,5.066515,0,3.054491
961402.4801,1962532.498,1642,961402.4801,1962532.498,1642,961402.4801,1962532.498,1.431364,0.60206,2.838499,2.65535,1.897982,1.586587,4.399219,0.008774,3,0.240042,3.87691,1.674402,4.414973,0,2.740571
961313.2771,1943305.399,1643,961313.2771,1943305.399,1643,961313.2771,1943305.399,1.447158,0.60206,2.322446,2.313329,1.800063,1.580925,4.12506,0.006781,9,0.279753,4.499824,1.900968,4.819544,0,2.918576
961397.7247,1960013.208,1644,961397.7247,1960013.208,1644,961397.7247,1960013.208,1.414973,1.838849,3.134023,2.644243,2.17692,1.608526,4.659874,0.092521,15,0.214609,4.08849,1.845055,4.479187,0,2.634132
961397.1372,1958976.824,1645,961397.1372,1958976.824,1645,961397.1372,1958976.824,1.30103,1.20412,3.378153,2.673649,2.016556,1.60206,4.475684,0.043077,9,0.251887,4.141669,1.698275,4.278754,0,2.580479
961369.0478,1952471.366,1646,961369.0478,1952471.366,1646,961369.0478,1952471.366,1.361728,1.20412,2.945356,2.966222,2.020287,1.61595,4.574422,0.025111,9,0.258867,4.184918,1.646894,4.287657,0,2.640763
961397.9448,1957766.851,1647,961397.9448,1957766.851,1647,961397.9448,1957766.851,1.176091,1.176091,3.424123,2.6434,1.829989,1.612784,4.292867,0.01691,12,0.246223,4.097292,1.85103,4.451092,0,2.600062
961449.8023,1962200.139,1648,961449.8023,1962200.139,1648,961449.8023,1962200.139,1.255273,1.041393,2.594027,2.363194,2.017216,1.608526,4.566524,0.018948,21,0.2497,4.24534,1.928293,4.518514,0,2.590221
961468.0074,1963188.705,1649,961468.0074,1963188.705,1649,961468.0074,1963188.705,1.414973,1,3.110339,2.702771,2.016848,1.584331,4.47454,0.006582,5,0.235883,3.830717,1.710153,4.224472,0.285714,2.514319
961460.9586,1960677.34,1650,961460.9586,1960677.34,1650,961460.9586,1960677.34,1.39794,0.845098,2.865244,1.934886,1.652666,1.608526,4.659874,0.092521,15,0.214609,4.08849,1.681906,4.298962,0.028571,2.617056
961412.5293,1946375.72,1651,961412.5293,1946375.72,1651,961412.5293,1946375.72,0.954243,1.079181,2.527669,2.819126,2.066602,1.596597,3.910855,0.004367,18,0.555443,5.332054,2.150849,5.170262,0,3.019413
961451.696,1954721.553,1652,961451.696,1954721.553,1652,961451.696,1954721.553,1.176091,0.69897,2.85324,2.584607,1.831761,1.621176,4.434645,0.023455,12,0.197094,3.924796,1.777717,4.439333,0,2.661616
961475.2208,1951686.256,1653,961475.2208,1951686.256,1653,961475.2208,1951686.256,1,0.60206,2.622268,2.349197,2.173335,1.609594,4.478174,0.017132,35,0.298103,4.695736,1.900422,4.501059,0,2.600637
961539.29,1962105.241,1654,961539.29,1962105.241,1654,961539.29,1962105.241,1.079181,1,2.419006,2.076105,2.017817,1.608526,4.566524,0.018948,21,0.2497,4.24534,1.928933,4.607747,0,2.678814
961475.6275,1946596.372,1655,961475.6275,1946596.372,1655,961475.6275,1946596.372,1.079181,0,2.534561,2.779404,2.062954,1.596597,3.910855,0.004367,18,0.555443,5.332054,1.928191,4.769008,1,2.840817
961538.1706,1958655.961,1656,961538.1706,1958655.961,1656,961538.1706,1958655.961,1.447158,1,3.435242,2.5122,2.074415,1.60206,4.475684,0.043077,9,0.251887,4.141669,1.700531,4.258384,0,2.557853
961553.4641,1959637.208,1657,961553.4641,1959637.208,1657,961553.4641,1959637.208,1.431364,1.39794,3.245791,2.525497,2.107439,1.583199,4.695619,0.036793,7,0.246522,3.93369,1.770893,4.368549,0.076923,2.597656
961493.89,1942493.509,1658,961493.89,1942493.509,1658,961493.89,1942493.509,1.518514,1.544068,3.008342,2.867446,2.038851,1.580925,4.12506,0.006781,9,0.279753,4.499824,1.628911,4.790833,0,3.161922
961595.0044,1961564.926,1659,961595.0044,1961564.926,1659,961595.0044,1961564.926,1.447158,1.380211,1.813588,2.550977,2.410953,1.583199,4.51542,0.012978,12,0.233847,4.371696,1.504878,4.237532,0.375,2.732654
961624.0191,1963054.523,1660,961624.0191,1963054.523,1660,961624.0191,1963054.523,1.431364,1.041393,3.054214,2.800347,2.238507,1.584331,4.47454,0.006582,5,0.235883,3.830717,1.779783,4.326833,0.066667,2.54705
961588.6903,1954792.968,1661,961588.6903,1954792.968,1661,961588.6903,1954792.968,1.20412,0.954243,2.93593,2.570159,1.94563,1.621176,4.434645,0.023455,12,0.197094,3.924796,1.776992,4.370181,0.5,2.593189
961585.7026,1953187.698,1662,961585.7026,1953187.698,1662,961585.7026,1953187.698,1.361728,1.518514,3.041166,3.177196,2.102224,1.608526,4.395651,0.020807,4,0.241034,4.058008,1.825366,4.371539,0,2.546173
961601.3489,1956210.722,1663,961601.3489,1956210.722,1663,961601.3489,1956210.722,1.079181,1.30103,3.249804,2.417243,2.101283,1.606381,4.52017,0.021306,6,0.238308,3.930389,1.908435,4.570067,0.071429,2.661632
961574.8277,1944327.327,1664,961574.8277,1944327.327,1664,961574.8277,1944327.327,1.556303,1.477121,2.797919,2.382794,2.37585,1.583199,4.333629,0.002157,23,0.343244,5.163337,1.901782,4.903881,0.15,3.002099
961615.9403,1953033.68,1665,961615.9403,1953033.68,1665,961615.9403,1953033.68,0.60206,1.146128,2.983505,3.171921,2.280533,1.61595,4.574422,0.025111,9,0.258867,4.184918,1.82823,4.528412,0,2.700182
961584.5403,1944606.999,1666,961584.5403,1944606.999,1666,961584.5403,1944606.999,1.39794,0.30103,2.652926,2.716937,1.621931,1.583199,4.333629,0.002157,23,0.343244,5.163337,1.925673,4.778151,0,2.852478
961651.1989,1958437.732,1667,961651.1989,1958437.732,1667,961651.1989,1958437.732,1.462398,1.431364,3.470874,2.536289,2.258588,1.60206,4.475684,0.043077,9,0.251887,4.141669,1.729716,4.338083,0.083333,2.608367
961595.1572,1944988.547,1668,961595.1572,1944988.547,1668,961595.1572,1944988.547,1.278754,0,2.110693,2.761214,1.733609,1.583199,4.333629,0.002157,23,0.343244,5.163337,2.310438,5.041393,0,2.730955
961636.2939,1952788.949,1669,961636.2939,1952788.949,1669,961636.2939,1952788.949,1,0.69897,2.894297,3.124156,1.838414,1.61595,4.574422,0.025111,9,0.258867,4.184918,1.929317,4.531479,0,2.602162
961632.296,1948227.504,1670,961632.296,1948227.504,1670,961632.296,1948227.504,1.342423,0.845098,2.659547,2.033263,1.933215,1.630428,4.390524,0.01817,30,0.180048,4.066512,1.927986,4.711807,0,2.783821
961672.4987,1956400.547,1671,961672.4987,1956400.547,1671,961672.4987,1956400.547,1.20412,1.041393,3.295437,2.551133,1.742351,1.623249,4.326608,0.021499,13,0.224475,4.170702,1.777717,4.305947,0,2.52823
961706.9728,1962406.639,1672,961706.9728,1962406.639,1672,961706.9728,1962406.639,1.20412,0,2.681773,2.654805,2.206545,1.608526,4.566524,0.018948,21,0.2497,4.24534,1.777644,4.339123,0,2.561479
961649.9837,1949556.883,1673,961649.9837,1949556.883,1673,961649.9837,1949556.883,1.20412,0.60206,2.741664,2.672178,1.634086,1.577492,4.320594,0.008983,32,0.152623,4.383205,1.777934,4.572872,0,2.794938
961678.9185,1952929.559,1674,961678.9185,1952929.559,1674,961678.9185,1952929.559,1.255273,1.30103,2.926283,3.163146,2.017423,1.61595,4.574422,0.025111,9,0.258867,4.184918,1.851405,4.396021,0.5,2.544616
961726.0443,1961752.596,1675,961726.0443,1961752.596,1675,961726.0443,1961752.596,1.431364,1.544068,1.256989,2.447121,2.045032,1.583199,4.51542,0.012978,12,0.233847,4.371696,1.725945,4.361734,0.066667,2.635789
961732.4141,1960927.943,1676,961732.4141,1960927.943,1676,961732.4141,1960927.943,1.380211,0.954243,2.752689,2.393787,1.814741,1.608526,4.659874,0.092521,15,0.214609,4.08849,1.902196,4.50987,0,2.607674
961742.486,1959797.171,1677,961742.486,1959797.171,1677,961742.486,1959797.171,1.431364,1.672098,3.218712,2.019666,2.014751,1.583199,4.695619,0.036793,7,0.246522,3.93369,1.964206,4.600865,0.1,2.636659
961769.0269,1960438.44,1678,961769.0269,1960438.44,1678,961769.0269,1960438.44,1.380211,1.146128,3.018794,2.380282,2.0174,1.608526,4.659874,0.092521,15,0.214609,4.08849,1.653959,4.244039,0.142857,2.59008
961764.7393,1957552.095,1679,961764.7393,1957552.095,1679,961764.7393,1957552.095,1,0.90309,3.467305,2.254745,1.779244,1.612784,4.292867,0.01691,12,0.246223,4.097292,1.771955,4.484066,0,2.712111
961772.3706,1959103.744,1680,961772.3706,1959103.744,1680,961772.3706,1959103.744,1.322219,0.954243,3.367715,2.719246,1.910551,1.603144,4.456506,0.042986,25,0.249535,4.314562,1.604951,4.187502,0,2.582551
961760.2079,1954857.344,1681,961760.2079,1954857.344,1681,961760.2079,1954857.344,1.113943,0.60206,2.958937,2.655859,1.605242,1.621176,4.434645,0.023455,12,0.197094,3.924796,1.927422,4.541579,0,2.614157
